SNNAME QF Ha eHa Hb eHb OIIIb eOIIIb NIIb eNIIb SII eSII
PTF14ans S 1.527e-16 5.056e-17 5.339e-17 2.006e-17 4.163e-17 1.564e-17 3.99e-17 1.403e-17 7.64e-17 1.86e-17
IC5179 S 1.498e-13 4.296e-14 5.239e-14 1.498e-14 8.877e-15 2.18e-15 5.352e-14 1.492e-14 3.317e-14 6.304e-15
IC1481 G 8.769e-14 8.238e-15 3.066e-14 4.173e-15 4.944e-14 5.843e-15 1.184e-13 1.112e-14 nan nan
NGC4261 S nan nan nan nan nan nan nan nan nan nan
NGC1316_1 S nan nan 1.875e-15 2.517e-16 2.709e-15 2.884e-16 7.166e-15 6.732e-16 6.535e-15 4.541e-16
NGC1316_2 S 7.176e-15 1.289e-15 4.822e-15 7.032e-16 7.903e-15 9.838e-16 2.407e-14 2.892e-15 1.934e-14 1.332e-15
SN2007nq X nan nan nan nan nan nan 5.052e-18 1.898e-18 nan nan
NGC0307 S 3.384e-17 8.198e-18 1.481e-16 1.391e-17 2.573e-16 2.418e-17 nan nan 2.171e-16 1.456e-17
NGC5728_1 S 6.323e-16 1.596e-16 3.425e-16 5.231e-17 3.503e-16 8.14e-17 4.935e-16 1.38e-16 3.953e-16 7.466e-17
SN2010jo S 3.824e-18 1.437e-18 nan nan nan nan nan nan nan nan
IC986 S 8.139e-17 2.046e-17 2.846e-17 1.069e-17 1.513e-16 2.807e-17 1.066e-16 2.685e-17 2.595e-14 9.742e-15
2MIG_1546 S 4.287e-15 4.027e-16 2.718e-15 2.783e-16 2.851e-15 3.137e-16 4.553e-15 4.277e-16 3.471e-15 2.347e-16
IC4296 S nan nan 4.571e-17 1.356e-17 3.972e-17 1.291e-17 nan nan nan nan
ASASSN15ja X 2.457e-15 2.308e-16 2.745e-15 2.578e-16 nan nan 1.121e-15 1.053e-16 3.809e-16 4.318e-17
SN2002fk S 4.245e-14 1.367e-14 1.484e-14 4.592e-15 5.69e-15 1.668e-15 1.375e-14 4.357e-15 1.734e-14 3.837e-15
SN2012Z S 3.175e-15 1.035e-15 1.11e-15 3.333e-16 1.44e-15 4.576e-16 6.542e-16 2.094e-16 1.477e-15 3.363e-16
